,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
318000,2020-10-20 04:17:16,4727244663135968,"fraud_Weimann, Kuhic and Beahan",shopping_pos,8.49,Mary,Lewis,F,118 Justin Extension,Bay Minette,AL,36507,30.8635,-87.7644,19090,Science writer,1929-05-30,0bceff8fae0488e2afe618c5638ac509,1382242636,30.504228,-86.91961500000001,0
318001,2020-10-20 04:17:45,6011893664860915,fraud_Luettgen PLC,gas_transport,62.85,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,53b4877484ae91ca502eaae458c59431,1382242665,39.724824,-105.744496,0
318002,2020-10-20 04:19:15,4302475216404898,fraud_Luettgen PLC,gas_transport,67.93,Daniel,Cain,M,384 Newman Forks Apt. 370,Belmond,IA,50421,42.8511,-93.62,3032,Community pharmacist,1964-08-08,e3287470f39629e8a3ceb32469879f0e,1382242755,42.234086,-94.556202,0
318003,2020-10-20 04:19:28,3573030041201292,fraud_Dicki Ltd,grocery_net,73.03,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",1990-01-17,d74286062cc72f08c2fa1a7314cc5546,1382242768,40.128346,-110.98731299999999,0
318004,2020-10-20 04:19:58,4277232699798846,"fraud_Kerluke, Considine and Macejkovic",misc_net,1.91,Jennifer,Vance,F,13299 Patrick Terrace,Rhame,ND,58651,46.1664,-103.7079,475,Illustrator,1955-11-10,cb283a27962c572211cc90e0f4c5a96a,1382242798,46.036778999999996,-104.698903,0
318005,2020-10-20 04:21:38,3573386445588324,fraud_Beier-Hyatt,shopping_pos,2.72,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,23f7d3bd0cc2a284b1ce25d0ecd83e9a,1382242898,46.121086,-97.565238,0
318006,2020-10-20 04:21:53,3543591270174051,fraud_Trantow PLC,grocery_net,53.08,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,1972-10-04,9b912e8219b406d5dca056d3f83ebe6b,1382242913,40.010407,-79.684394,0
318007,2020-10-20 04:21:54,3592931352252641,fraud_Torp-Lemke,misc_pos,1.72,Dylan,Garcia,M,923 Jordan Road,Afton,MN,55001,44.8696,-92.8234,2916,Barrister's clerk,1935-06-29,7468ea6f880ee670ab12faf9190fb454,1382242914,45.524581,-93.748026,0
318008,2020-10-20 04:22:22,4384910379661778,fraud_Hermann and Sons,shopping_pos,5.3,Michelle,Russell,F,55505 Christy Via,Hawley,MN,56549,46.9777,-96.4092,4508,Naval architect,1949-04-24,2e472c79fa7be147511bebc58dc50e8d,1382242942,47.230053999999996,-95.76281800000001,0
318009,2020-10-20 04:22:50,376028110684021,"fraud_Goldner, Kovacek and Abbott",grocery_pos,99.8,Aaron,Murray,M,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23,b6ac8080abeb3c0d66fa24f0872e891e,1382242970,39.179251,-93.764684,0
318010,2020-10-20 04:23:11,4958589671582726883,fraud_Nienow PLC,entertainment,157.04,Aaron,Pena,M,793 Hooper Tunnel Suite 154,Burke,VA,22015,38.7894,-77.2818,43102,Health visitor,1950-11-27,c4d93b389f61fc0692f0f83cc1722102,1382242991,37.976784,-78.237348,0
318011,2020-10-20 04:23:52,4147608975828480,fraud_Goyette Inc,shopping_net,3.19,Edward,Tapia,M,354 Gutierrez Gateway,Comfrey,MN,56019,44.1111,-94.9134,914,Health and safety adviser,1944-07-26,7a0c3c2f8c6ed6e5a4ca75eb03a987cd,1382243032,44.519018,-94.558814,0
318012,2020-10-20 04:23:58,30150717898388,"fraud_Rowe, Batz and Goodwin",grocery_pos,147.98,Raymond,Lloyd,M,5930 Rebecca Bridge Apt. 444,Paint Rock,AL,35764,34.7031,-86.3068,653,Paediatric nurse,1966-06-19,d3420cb56de1366888c6e0b0f376a740,1382243038,35.510083,-85.576266,0
318013,2020-10-20 04:24:27,6011388901471808,fraud_Miller-Hauck,grocery_pos,110.65,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,0afa3883ba530a94e6eea8c965a4a4cc,1382243067,40.814686,-80.05369,0
318014,2020-10-20 04:25:19,340951438290556,fraud_Rutherford-Mertz,grocery_pos,235.55,Maria,Garcia,F,865 Thomas Village,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02,e4d066a4922ccbc19d8886125209f253,1382243119,41.742484999999995,-74.90576800000001,0
318015,2020-10-20 04:26:07,4005676619255478,fraud_Shields Inc,grocery_net,31.78,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,8e7c801117618c7da5832c0608107597,1382243167,30.542054999999998,-91.607712,0
318016,2020-10-20 04:26:38,4716561796955522,fraud_Emard Inc,gas_transport,101.28,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,35387248f96ee64997f1e606804b0d96,1382243198,48.863644,-112.923549,0
318017,2020-10-20 04:26:40,343472729187663,fraud_Corwin-Gorczany,misc_net,27.16,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",1971-08-05,e9626245f94e39225b0e06eb9247678d,1382243200,43.928709000000005,-71.91314100000001,0
318018,2020-10-20 04:26:57,4562827002127,fraud_Goodwin-Nitzsche,grocery_pos,82.53,Christopher,Johnson,M,28711 Kristine Junction Suite 309,Greenville,OH,45331,40.0987,-84.6342,22930,Media planner,1971-11-26,0e05288a8e758f26c7a7847951c42a62,1382243217,40.194795,-85.142454,0
318019,2020-10-20 04:27:18,676308307625,fraud_Hills-Olson,grocery_net,54.66,Donald,Evans,M,1287 Michael Roads,Washoe Valley,NV,89704,39.2669,-119.8174,4290,Animal nutritionist,1989-12-10,3f5b97388bec4ed0d311e896501718bc,1382243238,40.022634000000004,-119.909283,0
318020,2020-10-20 04:28:32,4550599031376731,fraud_Kiehn-Emmerich,grocery_pos,111.74,Angela,West,F,9471 Wong Islands,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,1968-05-29,d3bb51880c20e2c1042edb104cf566f4,1382243312,40.136288,-82.340496,0
318021,2020-10-20 04:28:57,4092452671396169678,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,8.49,Jeffrey,Vargas,M,478 Alexandria Mount,Bolton,NC,28423,34.3091,-78.3372,2290,"Engineer, biomedical",1945-12-07,abfc6d65835cfec8d8fb2b41abc0d16a,1382243337,33.508404,-79.219724,0
